,Id,Code,Name,was,subsequent,Class,Standard Concept Caption,RC,DRC,PC,DPC,Valid Start Date,Valid End Date,Domain,Vocabulary
,1413803,I21.207,"Acute inferior myocardial infarction, right ventricular (machine translation)",1,,ICD10 code,Non-Standard,timeout,timeout,timeout,timeout,01/01/2016,12/31/2099,Condition,ICD10CN
,37163020,1204152002,Acute inferior non-ST segment elevation myocardial infarction,1,,Disorder,Standard,timeout,timeout,timeout,timeout,02/28/2022,12/31/2099,Condition,SNOMED
,37163019,1204151009,Acute inferior non-ST segment elevation myocardial infarction of right ventricle,1,,Disorder,Standard,timeout,timeout,timeout,timeout,02/28/2022,12/31/2099,Condition,SNOMED
,3413284,703253007,Acute inferior ST segment elevation myocardial infarction with right ventricular involvement,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,07/31/2014,12/31/2099,Condition,Nebraska Lexicon
,1413804,I21.208,Acute inferior wall myocardial infarction posterior wall (machine translation),1,,ICD10 code,Non-Standard,timeout,timeout,timeout,timeout,01/01/2016,12/31/2099,Condition,ICD10CN
,1413805,I21.210,Acute lateral myocardial infarction (machine translation),1,,ICD10 code,Non-Standard,timeout,timeout,timeout,timeout,01/01/2016,12/31/2099,Condition,ICD10CN
,42488360,I21,Acute myocardial infarction,1,,KCD7 code,Non-Standard,timeout,timeout,timeout,timeout,07/01/2017,12/31/2099,Condition,KCD7
,1413785,I21,Acute myocardial infarction,1,,ICD10 Hierarchy,Non-Standard,timeout,timeout,timeout,timeout,01/01/2016,12/31/2099,Condition,ICD10CN
,3105653,155304006,Acute myocardial infarction,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,07/31/2017,Condition,Nebraska Lexicon
,312327,57054005,Acute myocardial infarction,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,SNOMED
,45538370,I21,Acute myocardial infarction,1,,ICD10 Hierarchy,Non-Standard,timeout,timeout,timeout,timeout,05/01/1990,12/31/2099,Condition,ICD10
,1569126,I21,Acute myocardial infarction,1,,3-char nonbill code,Non-Standard,timeout,timeout,timeout,timeout,01/01/2012,12/31/2099,Condition,ICD10CM
,45420353,G30..00,Acute myocardial infarction,1,,Read,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,Read
,3404781,57054005,Acute myocardial infarction,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,Nebraska Lexicon
,44832372,410,Acute myocardial infarction,1,,3-dig nonbill code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,3141574,266288001,Acute myocardial infarction,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,07/31/2017,Condition,Nebraska Lexicon
,38001109,281,"Acute myocardial infarction, discharged alive w CC",1,,MS-DRG,Standard,timeout,timeout,timeout,timeout,10/01/2007,12/31/2099,Observation,DRG
,38001108,280,"Acute myocardial infarction, discharged alive w MCC",1,,MS-DRG,Standard,timeout,timeout,timeout,timeout,10/01/2007,12/31/2099,Observation,DRG
,38001110,282,"Acute myocardial infarction, discharged alive w/o CC/MCC",1,,MS-DRG,Standard,timeout,timeout,timeout,timeout,10/01/2007,12/31/2099,Observation,DRG
,44782769,17531000119105,Acute myocardial infarction due to left coronary artery occlusion,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2014,12/31/2099,Condition,SNOMED
,3274916,17531000119105,Acute myocardial infarction due to left coronary artery occlusion,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2014,12/31/2099,Condition,Nebraska Lexicon
,604425,896689003,Acute myocardial infarction due to occlusion of circumflex branch of left coronary artery,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2021,12/31/2099,Condition,SNOMED
,3284893,23311000119105,Acute myocardial infarction due to right coronary artery occlusion,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2014,12/31/2099,Condition,Nebraska Lexicon
,44782712,23311000119105,Acute myocardial infarction due to right coronary artery occlusion,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2014,12/31/2099,Condition,SNOMED
,45766115,703212004,Acute myocardial infarction during procedure,1,,Disorder,Standard,timeout,timeout,timeout,timeout,07/31/2014,12/31/2099,Condition,SNOMED
,3268621,703212004,Acute myocardial infarction during procedure,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,07/31/2014,12/31/2099,Condition,Nebraska Lexicon
,38001112,284,"Acute myocardial infarction, expired w CC",1,,MS-DRG,Standard,timeout,timeout,timeout,timeout,10/01/2007,12/31/2099,Observation,DRG
,38001111,283,"Acute myocardial infarction, expired w MCC",1,,MS-DRG,Standard,timeout,timeout,timeout,timeout,10/01/2007,12/31/2099,Observation,DRG
,38001113,285,"Acute myocardial infarction, expired w/o CC/MCC",1,,MS-DRG,Standard,timeout,timeout,timeout,timeout,10/01/2007,12/31/2099,Observation,DRG
,45476932,G30z.00,Acute myocardial infarction NOS,1,,Read,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,Read
,4110956,194811003,Acute myocardial infarction NOS,1,,Disorder,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,01/31/2010,Condition,SNOMED
,3124322,194811003,Acute myocardial infarction NOS,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/30/2002,01/31/2002,Condition,Nebraska Lexicon
,3520543,623341000000106,Acute myocardial infarction NOS,1,,Disorder,Non-Standard,timeout,timeout,timeout,timeout,04/01/2010,04/01/2012,Condition,SNOMED
,3380086,54329005,Acute myocardial infarction of anterior wall,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,Nebraska Lexicon
,434376,54329005,Acute myocardial infarction of anterior wall,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,SNOMED
,45766150,703252002,Acute myocardial infarction of anterior wall involving right ventricle,1,,Disorder,Standard,timeout,timeout,timeout,timeout,07/31/2014,12/31/2099,Condition,SNOMED
,3269540,703252002,Acute myocardial infarction of anterior wall with right ventricular involvement,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,07/31/2014,12/31/2099,Condition,Nebraska Lexicon
,438438,70211005,Acute myocardial infarction of anterolateral wall,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,SNOMED
,3336148,70211005,Acute myocardial infarction of anterolateral wall,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,Nebraska Lexicon
,44820857,410,"Acute myocardial infarction, of anterolateral wall",1,,4-dig nonbill code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44824237,410,"Acute myocardial infarction of anterolateral wall, episode of care unspecified",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44823111,410.01,"Acute myocardial infarction of anterolateral wall, initial episode of care",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44820858,410.02,"Acute myocardial infarction of anterolateral wall, subsequent episode of care",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,3654466,836294006,Acute myocardial infarction of apex of heart,1,,Disorder,Standard,timeout,timeout,timeout,timeout,07/31/2020,12/31/2099,Condition,SNOMED
,4243372,59063002,Acute myocardial infarction of apical-lateral wall,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,SNOMED
,3235693,59063002,Acute myocardial infarction of apical-lateral wall,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,Nebraska Lexicon
,4108669,194809007,Acute myocardial infarction of atrium,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,SNOMED
,3162978,72977004,Acute myocardial infarction of atrium,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,07/31/2004,07/31/2017,Condition,Nebraska Lexicon
,3317855,194809007,Acute myocardial infarction of atrium,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,07/31/2004,12/31/2099,Condition,Nebraska Lexicon
,40634151,72977004,Acute myocardial infarction of atrium,1,,Disorder,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,07/31/2004,Condition,SNOMED
,3415487,282006,Acute myocardial infarction of basal-lateral wall,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,Nebraska Lexicon
,4151046,282006,Acute myocardial infarction of basal-lateral wall,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,SNOMED
,3250661,73795002,Acute myocardial infarction of diaphragmatic wall,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2005,12/31/2099,Condition,Nebraska Lexicon
,4275436,64627002,Acute myocardial infarction of high lateral wall,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,SNOMED
,3175841,64627002,Acute myocardial infarction of high lateral wall,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,Nebraska Lexicon
,438170,73795002,Acute myocardial infarction of inferior wall,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,SNOMED
,45771322,703251009,Acute myocardial infarction of inferior wall involving right ventricle,1,,Disorder,Standard,timeout,timeout,timeout,timeout,07/31/2014,12/31/2099,Condition,SNOMED
,3224198,703251009,Acute myocardial infarction of inferior wall with right ventricular involvement,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,07/31/2014,12/31/2099,Condition,Nebraska Lexicon
,3338074,65547006,Acute myocardial infarction of inferolateral wall,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,Nebraska Lexicon
,438447,65547006,Acute myocardial infarction of inferolateral wall,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,SNOMED
,44819698,410.2,"Acute myocardial infarction, of inferolateral wall",1,,4-dig nonbill code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44819699,410.2,"Acute myocardial infarction of inferolateral wall, episode of care unspecified",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44819700,410.21,"Acute myocardial infarction of inferolateral wall, initial episode of care",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44820859,410.22,"Acute myocardial infarction of inferolateral wall, subsequent episode of care",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,3654467,836295007,Acute myocardial infarction of inferolateral wall with posterior extension,1,,Disorder,Standard,timeout,timeout,timeout,timeout,07/31/2020,12/31/2099,Condition,SNOMED
,3309856,76593002,Acute myocardial infarction of inferoposterior wall,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2010,12/31/2099,Condition,Nebraska Lexicon
,441579,76593002,Acute myocardial infarction of inferoposterior wall,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,SNOMED
,44832373,410.3,"Acute myocardial infarction, of inferoposterior wall",1,,4-dig nonbill code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44826635,410.3,"Acute myocardial infarction of inferoposterior wall, episode of care unspecified",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44833561,410.31,"Acute myocardial infarction of inferoposterior wall, initial episode of care",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44820860,410.32,"Acute myocardial infarction of inferoposterior wall, subsequent episode of care",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,3179898,58612006,Acute myocardial infarction of lateral wall,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,07/31/2002,12/31/2099,Condition,Nebraska Lexicon
,436706,58612006,Acute myocardial infarction of lateral wall,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,SNOMED
,44834718,410.1,"Acute myocardial infarction, of other anterior wall",1,,4-dig nonbill code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44831236,410.1,"Acute myocardial infarction of other anterior wall, episode of care unspecified",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44827782,410.11,"Acute myocardial infarction of other anterior wall, initial episode of care",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44819697,410.12,"Acute myocardial infarction of other anterior wall, subsequent episode of care",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44825428,410.4,"Acute myocardial infarction, of other inferior wall",1,,4-dig nonbill code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44834719,410.4,"Acute myocardial infarction of other inferior wall, episode of care unspecified",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44835926,410.41,"Acute myocardial infarction of other inferior wall, initial episode of care",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44832374,410.42,"Acute myocardial infarction of other inferior wall, subsequent episode of care",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44830079,410.5,"Acute myocardial infarction, of other lateral wall",1,,4-dig nonbill code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44832375,410.5,"Acute myocardial infarction of other lateral wall, episode of care unspecified",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44834720,410.51,"Acute myocardial infarction of other lateral wall, initial episode of care",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44834721,410.52,"Acute myocardial infarction of other lateral wall, subsequent episode of care",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44834723,410.8,"Acute myocardial infarction, of other specified sites",1,,4-dig nonbill code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44826636,410.8,"Acute myocardial infarction of other specified sites, episode of care unspecified",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44834724,410.81,"Acute myocardial infarction of other specified sites, initial episode of care",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44832376,410.82,"Acute myocardial infarction of other specified sites, subsequent episode of care",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,4324413,70998009,Acute myocardial infarction of posterobasal wall,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,SNOMED
,3356801,70998009,Acute myocardial infarction of posterobasal wall,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,Nebraska Lexicon
,3377126,15990001,Acute myocardial infarction of posterolateral wall,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,07/31/2015,12/31/2099,Condition,Nebraska Lexicon
,4051874,15990001,Acute myocardial infarction of posterolateral wall,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,SNOMED
,3654465,836293000,Acute myocardial infarction of right ventricle,1,,Disorder,Standard,timeout,timeout,timeout,timeout,07/31/2020,12/31/2099,Condition,SNOMED
,4303359,79009004,Acute myocardial infarction of septum,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,SNOMED
,3348169,79009004,Acute myocardial infarction of septum alone,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,Nebraska Lexicon
,44835928,410.9,"Acute myocardial infarction of unspecified site, episode of care unspecified",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44825430,410.91,"Acute myocardial infarction of unspecified site, initial episode of care",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44820861,410.92,"Acute myocardial infarction of unspecified site, subsequent episode of care",1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,2617496,G8006,Acute myocardial infarction: patient documented to have received aspirin at arrival (Deprecated),1,,HCPCS,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,11/11/2014,Observation,HCPCS
,2617499,G8009,Acute myocardial infarction: patient documented to have received beta-blocker at arrival (Deprecated),1,,HCPCS,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,11/11/2014,Observation,HCPCS
,2617497,G8007,Acute myocardial infarction: patient not documented to have received aspirin at arrival (Deprecated),1,,HCPCS,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,11/11/2014,Observation,HCPCS
,2617500,G8010,Acute myocardial infarction: patient not documented to have received beta-blocker at arrival (Deprecated),1,,HCPCS,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,11/11/2014,Observation,HCPCS
,44819701,410.7,"Acute myocardial infarction, subendocardial infarction",1,,4-dig nonbill code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,44834722,410.6,"Acute myocardial infarction, true posterior wall infarction",1,,4-dig nonbill code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,1413793,I21.104,Acute myocardial infarction under the dividing wall (machine translation),1,,ICD10 code,Non-Standard,timeout,timeout,timeout,timeout,01/01/2016,12/31/2099,Condition,ICD10CN
,1413817,I21.900,"Acute myocardial infarction, unspecified",1,,ICD10 code,Non-Standard,timeout,timeout,timeout,timeout,01/01/2016,12/31/2099,Condition,ICD10CN
,1413816,I21.9,"Acute myocardial infarction, unspecified",1,,ICD10 code,Non-Standard,timeout,timeout,timeout,timeout,01/01/2016,12/31/2099,Condition,ICD10CN
,42488366,I21.9,"Acute myocardial infarction, unspecified",1,,KCD7 code,Non-Standard,timeout,timeout,timeout,timeout,07/01/2017,12/31/2099,Condition,KCD7
,45605780,I21.9,"Acute myocardial infarction, unspecified",1,,ICD10 code,Non-Standard,timeout,timeout,timeout,timeout,05/01/1990,12/31/2099,Condition,ICD10
,1326588,I21.9,"Acute myocardial infarction, unspecified",1,,4-char billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/2018,12/31/2099,Condition,ICD10CM
,44819702,410.9,"Acute myocardial infarction, unspecified site",1,,4-dig nonbill code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,3289903,30277009,Acute myocardial infarction with rupture of ventricle,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2005,12/31/2099,Condition,Nebraska Lexicon
,3337286,401314000,Acute non-ST segment elevation myocardial infarction,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,07/31/2003,12/31/2099,Condition,Nebraska Lexicon
,45430134,G307100,Acute non-ST segment elevation myocardial infarction,1,,Read,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,Read
,3522488,44001000000101,Acute non-ST segment elevation myocardial infarction,1,,Undefined,Non-Standard,timeout,timeout,timeout,timeout,01/31/2004,01/31/2004,Observation,SNOMED
,3522945,83351000000106,Acute non-ST segment elevation myocardial infarction,1,,Undefined,Non-Standard,timeout,timeout,timeout,timeout,01/31/2004,01/31/2004,Observation,SNOMED
,3522581,46001000000109,Acute non-ST segment elevation myocardial infarction,1,,Disorder,Non-Standard,timeout,timeout,timeout,timeout,01/31/2004,01/31/2004,Condition,SNOMED
,4270024,401314000,Acute non-ST segment elevation myocardial infarction,1,,Disorder,Standard,timeout,timeout,timeout,timeout,07/31/2003,12/31/2099,Condition,SNOMED
,1413815,I21.401,Acute non-ST segment elevation myocardial infarction (machine translation),1,,ICD10 code,Non-Standard,timeout,timeout,timeout,timeout,01/01/2016,12/31/2099,Condition,ICD10CN
,37163084,1204222000,Acute non-ST segment elevation myocardial infarction of right ventricle,1,,Disorder,Standard,timeout,timeout,timeout,timeout,02/28/2022,12/31/2099,Condition,SNOMED
,35610091,1089451000000100,Acute nontransmural myocardial infarction,1,,Disorder,Standard,timeout,timeout,timeout,timeout,04/01/2018,12/31/2099,Condition,SNOMED
,319039,233838001,Acute posterior myocardial infarction,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,SNOMED
,3339323,233838001,Acute posterior myocardial infarction,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,Nebraska Lexicon
,1413801,I21.205,Acute posterior wall myocardial infarction (machine translation),1,,ICD10 code,Non-Standard,timeout,timeout,timeout,timeout,01/01/2016,12/31/2099,Condition,ICD10CN
,45423522,G30B.00,Acute posterolateral myocardial infarction,1,,Read,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,Read
,3158367,412771006,Acute posterolateral myocardial infarction,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,07/31/2004,07/31/2017,Condition,Nebraska Lexicon
,3523328,122701000000102,Acute posterolateral myocardial infarction,1,,Undefined,Non-Standard,timeout,timeout,timeout,timeout,07/31/2004,07/31/2004,Observation,SNOMED
,40587821,412771006,Acute posterolateral myocardial infarction,1,,Disorder,Non-Standard,timeout,timeout,timeout,timeout,07/31/2004,07/31/2004,Condition,SNOMED
,3339417,304914007,Acute Q wave myocardial infarction,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,Nebraska Lexicon
,3124318,194805001,Acute Q wave myocardial infarction,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,07/31/2008,Condition,Nebraska Lexicon
,40398829,194805001,Acute Q wave myocardial infarction,1,,Disorder,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,01/31/2002,Condition,SNOMED
,3105668,155319007,Acute Q wave myocardial infarction,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,07/31/2008,Condition,Nebraska Lexicon
,40323879,155319007,Acute Q wave myocardial infarction,1,,Disorder,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,01/31/2002,Condition,SNOMED
,4126801,304914007,Acute Q wave myocardial infarction,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,SNOMED
,1413802,I21.206,Acute right ventricular myocardial infarction (machine translation),1,,ICD10 code,Non-Standard,timeout,timeout,timeout,timeout,01/01/2016,12/31/2099,Condition,ICD10CN
,3576243,83361000000109,Acute ST segment elevation myocardial infarction,1,,Undefined,Non-Standard,timeout,timeout,timeout,timeout,01/31/2004,01/31/2004,Observation,SNOMED
,3550822,45881000000101,Acute ST segment elevation myocardial infarction,1,,Disorder,Non-Standard,timeout,timeout,timeout,timeout,01/31/2004,01/31/2004,Condition,SNOMED
,3550740,44011000000104,Acute ST segment elevation myocardial infarction,1,,Undefined,Non-Standard,timeout,timeout,timeout,timeout,01/31/2004,01/31/2004,Observation,SNOMED
,45523369,G30X000,Acute ST segment elevation myocardial infarction,1,,Read,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,Read
,4296653,401303003,Acute ST segment elevation myocardial infarction,1,,Disorder,Standard,timeout,timeout,timeout,timeout,07/31/2003,12/31/2099,Condition,SNOMED
,3661504,840316004,Acute ST segment elevation myocardial infarction due to distal left anterior descending coronary artery occlusion,1,,Disorder,Standard,timeout,timeout,timeout,timeout,07/31/2020,12/31/2099,Condition,SNOMED
